TiempoKey,Fecha,Mes,Dia,Anio
199,2017-07-18,7,18,2017
200,2017-07-19,7,19,2017
201,2017-07-20,7,20,2017
202,2017-07-21,7,21,2017
203,2017-07-22,7,22,2017
204,2017-07-23,7,23,2017
205,2017-07-24,7,24,2017
206,2017-07-25,7,25,2017
207,2017-07-26,7,26,2017
208,2017-07-27,7,27,2017
209,2017-07-28,7,28,2017
210,2017-07-29,7,29,2017
211,2017-07-30,7,30,2017
212,2017-07-31,7,31,2017
213,2017-08-01,8,1,2017
214,2017-08-02,8,2,2017
215,2017-08-03,8,3,2017
216,2017-08-04,8,4,2017
217,2017-08-05,8,5,2017
218,2017-08-06,8,6,2017
219,2017-08-07,8,7,2017
220,2017-08-08,8,8,2017
221,2017-08-09,8,9,2017
222,2017-08-10,8,10,2017
223,2017-08-11,8,11,2017
224,2017-08-12,8,12,2017
225,2017-08-13,8,13,2017
226,2017-08-14,8,14,2017
227,2017-08-15,8,15,2017
228,2017-08-16,8,16,2017
229,2017-08-17,8,17,2017
230,2017-08-18,8,18,2017
231,2017-08-19,8,19,2017
232,2017-08-20,8,20,2017
233,2017-08-21,8,21,2017
234,2017-08-22,8,22,2017
235,2017-08-23,8,23,2017
236,2017-08-24,8,24,2017
237,2017-08-25,8,25,2017
238,2017-08-26,8,26,2017
239,2017-08-27,8,27,2017
240,2017-08-28,8,28,2017
241,2017-08-29,8,29,2017
242,2017-08-30,8,30,2017
243,2017-08-31,8,31,2017
244,2017-09-01,9,1,2017
245,2017-09-02,9,2,2017
246,2017-09-03,9,3,2017
247,2017-09-04,9,4,2017
248,2017-09-05,9,5,2017
249,2017-09-06,9,6,2017
250,2017-09-07,9,7,2017
251,2017-09-08,9,8,2017
252,2017-09-09,9,9,2017
253,2017-09-10,9,10,2017
254,2017-09-11,9,11,2017
255,2017-09-12,9,12,2017
256,2017-09-13,9,13,2017
257,2017-09-14,9,14,2017
258,2017-09-15,9,15,2017
259,2017-09-16,9,16,2017
260,2017-09-17,9,17,2017
261,2017-09-18,9,18,2017
262,2017-09-19,9,19,2017
263,2017-09-20,9,20,2017
264,2017-09-21,9,21,2017
265,2017-09-22,9,22,2017
266,2017-09-23,9,23,2017
267,2017-09-24,9,24,2017
268,2017-09-25,9,25,2017
269,2017-09-26,9,26,2017
270,2017-09-27,9,27,2017
271,2017-09-28,9,28,2017
272,2017-09-29,9,29,2017
273,2017-09-30,9,30,2017
274,2017-10-01,10,1,2017
275,2017-10-02,10,2,2017
276,2017-10-03,10,3,2017
277,2017-10-04,10,4,2017
278,2017-10-05,10,5,2017
279,2017-10-06,10,6,2017
280,2017-10-07,10,7,2017
281,2017-10-08,10,8,2017
282,2017-10-09,10,9,2017
283,2017-10-10,10,10,2017
284,2017-10-11,10,11,2017
285,2017-10-12,10,12,2017
286,2017-10-13,10,13,2017
287,2017-10-14,10,14,2017
288,2017-10-15,10,15,2017
289,2017-10-16,10,16,2017
290,2017-10-17,10,17,2017
291,2017-10-18,10,18,2017
292,2017-10-19,10,19,2017
293,2017-10-20,10,20,2017
294,2017-10-21,10,21,2017
295,2017-10-22,10,22,2017
296,2017-10-23,10,23,2017
297,2017-10-24,10,24,2017
298,2017-10-25,10,25,2017
299,2017-10-26,10,26,2017
300,2017-10-27,10,27,2017
301,2017-10-28,10,28,2017
302,2017-10-29,10,29,2017
303,2017-10-30,10,30,2017
304,2017-10-31,10,31,2017
305,2017-11-01,11,1,2017
306,2017-11-02,11,2,2017
307,2017-11-03,11,3,2017
308,2017-11-04,11,4,2017
309,2017-11-05,11,5,2017
310,2017-11-06,11,6,2017
311,2017-11-07,11,7,2017
312,2017-11-08,11,8,2017
313,2017-11-09,11,9,2017
314,2017-11-10,11,10,2017
315,2017-11-11,11,11,2017
316,2017-11-12,11,12,2017
317,2017-11-13,11,13,2017
318,2017-11-14,11,14,2017
319,2017-11-15,11,15,2017
320,2017-11-16,11,16,2017
321,2017-11-17,11,17,2017
322,2017-11-18,11,18,2017
323,2017-11-19,11,19,2017
324,2017-11-20,11,20,2017
325,2017-11-21,11,21,2017
326,2017-11-22,11,22,2017
327,2017-11-23,11,23,2017
328,2017-11-24,11,24,2017
329,2017-11-25,11,25,2017
